Fichero generado por el Mityc30/10/2013
Longitud;Latitud;Descripcion
-16.72408;28.06636;BP LAS AMERICAS L-D: 24H 1,056 e
-15.44039;27.85183;SHELL  L-D: 24H 1,056 e
-15.41778;27.86222;REPSOL L-V: 05:00-21:00 1,056 e
-15.42906;27.85644;SHELL  L-D: 24H 1,056 e
-16.58189;28.39003;PCAN L-D: 24H 1,057 e
-15.57644;27.76403;SHELL L-D: 24H 1,057 e
-15.48228;27.80397;SHELL L-D: 24H 1,057 e
-16.58217;28.39008;DISA LOS BARROS L-D: 24H 1,057 e
-15.42111;28.10756;CEPSA BRAVO MURILLO L: 06:00-23:55 1,057 e
-15.47264;27.99556;TEXACO LOS ALMENDROS L-D: 06:00-01:00 1,057 e
-15.49542;27.99181;DISA  L-D: 06:00-00:00 1,057 e
-15.42633;27.87633;ESTACION REPSOL L-D: 24H 1,057 e
-15.56883;27.76489;DISA MASPALOMAS L-D: 06:00-00:00 1,057 e
-15.59008;27.76839;CEPSA TAXISTAS S.AGUSTIN L-D: 24H 1,058 e
-15.39008;28.00983;CEPSA L-D: 06:00-23:59 1,058 e
-15.41883;28.14736;TEXACO PUERTO  Horario Especial 1,058 e
-15.41475;28.0065;ESTACION EL CUBILLO Horario Especial 1,058 e
-13.86328;28.50133;CEPSA PUERTO ROSARIO Horario Especial 1,058 e
-15.60194;27.75331;TEXACO MASPALOMAS L-D: 24H 1,058 e
-15.60781;27.76628;PCAN L-D: 06:00-23:00 1,058 e
-15.39533;28.00606;REPSOL L-D: 24H 1,058 e
-15.41481;27.99239;REPSOL L-D: 06:00-23:00 1,058 e
-15.44272;28.09797;BP COOPERATIVA TAXIS S. C L-D: 24H 1,058 e
-15.58303;28.10825;BP MOYA L-D: 08:00-21:30 1,058 e
-15.44594;28.09864;BP LA PATERNA L-D: 24H 1,058 e
-15.45047;28.09647;SHELL TARAHALES II L-D: 06:00-22:00 1,058 e
-15.4515;28.09539;DISA TARAHALES I L-D: 24H 1,058 e
-16.27881;28.4435;CEPSA L-V: 05:00-14:00 1,058 e
-15.41617;27.87278;DISA L-D: 06:00-22:30 1,059 e
-15.47108;28.09969;LOMO LOS FRAILES L-D: 24H 1,059 e
-16.54556;28.39822;LAS ARENAS-COOP.TAXI PTO. L-D: 24H 1,059 e
-13.85989;28.49564;MERCAMEDEROS L-D: 07:00-22:00 1,059 e
-16.82989;28.20506;PCAN L-D: 24H 1,059 e
-13.85225;28.50075;PCAN GASOLINERA GIL Horario Especial 1,059 e
-13.46486;29.13172;PCAN ARRIETA L-D: 24H 1,059 e
-13.86514;28.42169;PCAN-MEDEROS L-D: 24H 1,059 e
-15.55861;28.11878;CEPSA Horario Especial 1,059 e
-15.45714;28.09389;CEPSA SIETE PALMAS L-D: 24H 1,059 e
-15.48936;28.10781;CEPSA LA CAZUELA L-D: 24H 1,059 e
-15.43361;28.08664;CEPSA SICAL L-D: 24H 1,059 e
-15.44175;28.10372;CEPSA ESCALERITAS L-D: 24H 1,059 e
-15.42967;28.11817;DISA JUAN XXIII L-D: 24H 1,059 e
-15.47519;28.04469;DISA  Horario Especial 1,059 e
-15.45981;28.09047;DISA L-D: 24H 1,059 e
-15.42089;28.10878;CEPSA CAPITOL Horario Especial 1,059 e
-15.4175;28.10236;DISA AVENIDA Horario Especial 1,059 e
-15.44481;27.90406;DISA AGUIMES L-D: 06:30-22:30 1,059 e
-15.43503;28.13256;DISA CHIL L-D: 24H 1,059 e
-15.43078;28.14203;CEPSA ESCORIAL L-D: 24H 1,059 e
-15.70039;28.10406;CEPSA Horario Especial 1,059 e
-15.41775;28.15367;DISA EL SEBADAL L-D: 06:00-22:00 1,059 e
-13.86181;28.49842;PCAN-MEDEROS L-D: 24H 1,059 e
-16.67883;28.04567;BP OIL ESPANA L-D: 24H 1,059 e
-15.40472;27.89917;SHELL  L-D: 24H 1,059 e
-15.42997;28.13333;DISA ALCARAVANERAS L-D: 24H 1,059 e
-15.43028;28.13569;DISA  L-D: 07:30-21:00 1,060 e
-15.56336;27.886;DISA  L-D: 07:00-22:30 1,060 e
-15.39897;27.91722;CEPSA L-D: 24H 1,060 e
-15.44;27.8295;POZO IZQUIERDO L-D: 24H 1,060 e
-15.38942;27.94472;CEPSA L-D: 24H 1,060 e
-15.43256;27.91828;SHELL INGENIO L-D: 07:00-23:00 1,061 e
-15.425;28.11494;SHELL TOMAS MORALES Horario Especial 1,061 e
-15.39928;27.85983;SHELL L-D: 06:00-23:00 1,061 e
-15.44972;28.05372;CEPSA HOYA PARRADO Horario Especial 1,061 e
-16.68089;28.07819;DISA Horario Especial 1,062 e
-15.54553;28.06192;CEPSA Horario Especial 1,062 e
-16.65933;28.09117;TEXACO L-D: 06:00-22:00 1,063 e
-15.57614;28.04911;BP VALLESECO L-D: 07:00-23:00 1,063 e
-13.86472;28.38781;REPSOL L-D: 07:00-23:00 1,063 e
